Time,RtoR
10/08/2017 09:07:53.443,534
,4270
,563
,1518
,238
,324
,156
,5146
,392
,298
,52
,342
,342
,77
,434
,24
,324
,268
,401
,228
,6
,573
,426
,27
,383
,249
,215
,196
,384
,314
,472
,13
,445
,4929
,155
,2297
,1127
,1483
,1292
,1950
,354
,596
,691
,314
,244
,853
,690
,689
,728
,1485
,713
,716
,733
,740
,570
,838
,684
,1407
,712
,701
,693
,692
,718
,715
,2072
,684
,702
,735
,720
,444
,265
,704
,722
,720
,1423
,205
,493
,711
,708
,700
,703
,690
,690
,692
,674
,665
,688
,705
,700
,678
,674
,669
,680
,693
,700
,685
,558
,125
,678
,688
,707
,721
,719
,713
,1417
,710
,1405
,710
,711
,703
,710
,691
,687
,681
,696
,690
,693
,717
,703
,689
,683
,693
,705
,713
,691
,699
,685
,692
,694
,688
,675
,672
,674
,674
,680
,672
,669
,665
,675
,686
,704
,692
,707
,707
,707
,706
,696
,700
,692
,702
,696
,706
,689
,687
,681
,705
,705
,1421
,697
,696
,707
,712
,712
,717
,711
,698
,718
,720
,721
,712
,710
,693
,688
,704
,705
,1426
,708
,695
,705
,1399
,690
,698
,697
,698
,702
,698
,696
,686
,688
,1391
,690
,691
,686
,689
,691
,703
,694
,689
,694
,692
,699
,700
,1388
,688
,689
,698
,696
,685
,686
,696
,698
,707
,713
,699
,701
,689
,685
,679
,676
,674
,688
,708
,721
,721
,708
,704
,694
,699
,690
,693
,689
,684
,681
,685
,685
,681
,685
,680
,682
,696
,702
,710
,713
,720
,724
,727
,725
,715
,711
,705
,705
,709
,715
,704
,707
,698
,707
,719
,725
,726
,715
,716
,719
,719
,718
,708
,705
,704
,699
,702
,705
,698
,706
,713
,721
,721
,718
,727
,728
,733
,745
,755
,735
,725
,713
,715
,714
,723
,719
,720
,706
,707
,717
,723
,710
,708
,698
,711
,702
,708
,708
,708
,701
,704
,706
,1425
,710
,704
,714
,719
,729
,725
,726
,726
,734
,753
,745
,725
,724
,717
,710
,1429
,703
,699
,700
,700
,704
,712
,699
,702
,696
,705
,707
,699
,703
,695
,707
,702
,709
,1396
,688
,692
,701
,695
,702
,702
,713
,713
,713
,708
,706
,712
,716
,721
,718
,702
,702
,686
,694
,699
,713
,718
,722
,724
,729
,741
,728
,725
,717
,719
,720
,718
,701
,703
,699
,699
,708
,708
,710
,714
,711
,717
,704
,708
,698
,694
,688
,691
,690
,691
,683
,688
,684
,691
,696
,694
,698
,684
,683
,666
,658
,666
,657
,660
,655
,655
,670
,710
,741
,792
,839
,864
,528
,1184
,862
,754
,774
,746
,732
,743
,758
,787
,775
,764
,758
,756
,743
,744
,756
,771
,768
,776
,786
,853
,867
,826
,804
,786
,764
,744
,710
,698
,710
,743
,783
,851
,958
,910
,1645
,777
,758
,746
,748
,761
,782
,800
,839
,922
,920
,868
,843
,835
,810
,801
,796
,773
,766
,782
,790
,823
,887
,832
,813
,779
,761
,745
,733
,734
,749
,777
,802
,823
,899
,896
,854
,818
,785
,764
,763
,754
,747
,761
,787
,820
,876
,909
,847
,826
,800
,779
,768
,768
,763
,769
,801
,835
,877
,931
,876
,820
,792
,771
,753
,745
,749
,756
,772
,800
,827
,861
,865
,822
,798
,780
,756
,732
,717
,705
,713
,747
,770
,809
,859
,855
,801
,763
,740
,724
,711
,712
,713
,718
,742
,757
,797
,857
,885
,842
,803
,777
,761
,745
,733
,726
,743
,746
,771
,809
,882
,880
,830
,799
,1560
,757
,742
,748
,774
,812
,841
,893
,954
,888
,833
,800
,774
,761
,758
,751
,756
,778
,808
,881
,966
,913
,861
,835
,804
,793
,771
,768
,767
,783
,797
,835
,942
,978
,925
,844
,808
,796
,788
,772
,783
,808
,848
,897
,1006
,951
,886
,1702
,815
,805
,794
,800
,808
,832
,908
,950
,884
,840
,821
,792
,777
,801
,834
,834
,814
,831
,855
,928
,892
,852
,831
,807
,790
,769
,775
,796
,825
,875
,976
,943
,870
,813
,781
,756
,745
,754
,755
,769
,796
,827
,876
,972
,922
,1684
,800
,769
,757
,755
,760
,808
,863
,943
,989
,918
,871
,843
,818
,816
,838
,839
,847
,847
,830
,828
,842
,820
,802
,790
,770
,760
,777
,810
,817
,832
,838
,848
,899
,859
,2413
,754
,747
,752
,764
,792
,805
,834
,885
,887
,849
,817
,788
,761
,745
,749
,754
,772
,811
,833
,875
,904
,855
,818
,802
,779
,763
,757
,761
,760
,766
,769
,770
,783
,803
,790
,775
,769
,754
,742
,750
,751
,762
,782
,805
,841
,915
,891
,851
,830
,804
,778
,774
,760
,764
,777
,797
,809
,865
,871
,838
,813
,795
,772
,757
,749
,737
,747
,761
,794
,833
,865
,852
,827
,803
,790
,774
,762
,750
,749
,749
,755
,775
,801
,836
,809
,791
,771
,759
,753
,756
,782
,427
,366
,785
,771
,190
,351
,885
,999
,335
,236
,718
,715
,719
,726
,744
,751
,748
,744
,743
,741
,734
,741
,732
,730
,726
,722
,710
,711
,708
,691
,688
,698
,692
,691
,692
,696
,695
,698
,688
,684
,690
,696
,694
,714
,736
,738
,729
,718
,713
,698
,695
,695
,692
,689
,681
,677
,683
,701
,721
,748
,821
,894
,874
,858
,888
,928
,935
,918
,883
,853
,836
,822
,807
,804
,805
,802
,793
,798
,796
,1575
,800
,793
,788
,780
,763
,751
,267
,484
,742
,740
,742
,751
,766
,787
,797
,790
,768
,771
,773
