Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
16/08/2017 17:01:50.409,83,8.1,-3276.8,-89,0.11,0.15,4.125,87,5512.000,65535.000,255,0.004900,0.003420,0,65535,0,65535,0,0,-0.02,0.01,0.13,0.19,0.98,1.06,23.7,531,255,-128,-128,6553.5,415,422,484
16/08/2017 17:01:51.409,84,8.1,-3276.8,-89,0.06,0.09,4.124,87,4940.000,65535.000,255,0.004900,0.003340,0,65535,0,65535,0,0,-0.03,0.02,0.12,0.19,1.00,1.06,23.7,531,255,-128,-128,6553.5,417,424,487
16/08/2017 17:01:52.409,85,7.3,-3276.8,-89,0.03,0.06,4.123,87,4358.000,65535.000,255,0.004080,0.003660,0,65535,0,65535,0,0,-0.02,0.01,0.14,0.19,1.00,1.06,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:01:53.409,85,7.3,-3276.8,-89,0.02,0.04,4.123,87,3765.000,65535.000,255,0.004080,0.003980,0,65535,0,65535,0,0,-0.03,0.01,0.12,0.19,0.98,1.06,23.7,531,255,-128,-128,6553.5,405,408,470
16/08/2017 17:01:54.409,85,6.6,-3276.8,-89,0.01,0.03,4.123,87,3276.000,65535.000,255,0.004080,0.004000,0,65535,0,65535,0,0,-0.03,0.02,0.13,0.19,0.98,1.06,23.7,531,255,-128,-128,6553.5,415,422,484
16/08/2017 17:01:55.409,85,6.6,-3276.8,-84,0.19,0.63,4.122,87,2813.000,65535.000,255,0.004080,0.004680,0,65535,0,65535,0,0,-0.69,0.19,-0.01,0.45,0.81,1.51,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:01:56.409,85,6.9,-3276.8,-77,0.35,0.48,4.122,87,2446.000,65535.000,255,0.004080,0.005920,0,65535,0,65535,0,0,-0.66,-0.18,0.21,0.67,0.62,1.13,23.7,531,255,-128,-128,6553.5,424,432,486
16/08/2017 17:01:57.409,85,6.9,-3276.8,-77,0.52,1.36,4.122,87,2103.000,65535.000,255,0.004080,0.011320,0,65535,0,65535,0,0,-0.65,0.79,0.24,1.53,-0.27,1.06,23.7,531,255,-128,-128,6553.5,415,422,484
16/08/2017 17:01:58.409,0,7.3,-3276.8,-73,0.54,0.90,4.122,87,1834.000,65535.000,255,0.000800,0.008860,0,65535,0,65535,0,0,-0.73,0.21,-0.13,1.14,0.10,1.65,23.7,531,255,-128,-128,6553.5,413,420,496
16/08/2017 17:01:59.409,0,7.3,-3276.8,-75,0.36,1.04,4.122,87,1576.000,65535.000,255,0.000800,0.006160,0,65535,0,65535,0,0,-0.89,-0.12,-0.16,0.97,-0.08,1.45,23.7,531,255,-128,-128,6553.5,414,422,483
16/08/2017 17:02:00.409,0,7.6,-3276.8,-61,0.66,1.85,4.117,86,1369.000,65535.000,255,0.000800,0.007960,0,65535,0,65535,0,0,-1.97,-0.20,-0.57,0.87,-1.34,1.71,23.7,531,255,-128,-128,6553.5,415,422,483
16/08/2017 17:02:01.409,0,7.6,-3276.8,-55,1.26,3.14,4.111,85,1177.000,65535.000,255,0.000800,0.014320,0,65535,0,65535,0,0,-1.18,2.78,-0.46,0.83,-1.87,1.85,23.7,531,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:02.409,0,8.0,-3276.8,-76,0.52,1.13,4.110,85,1025.000,65535.000,255,0.000800,0.014400,0,65535,0,65535,0,0,-0.39,0.24,0.33,1.67,-0.03,1.14,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:03.409,0,8.0,-3276.8,-79,0.62,1.61,4.110,85,880.000,65535.000,255,0.000800,0.019200,0,65535,0,65535,0,0,-0.93,0.45,0.25,2.20,-0.45,0.54,23.7,531,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:04.409,0,8.4,-3276.8,-108,1.02,4.07,4.110,85,767.000,65535.000,255,0.000800,0.028900,0,65535,0,65535,0,0,0.01,5.46,-0.39,2.30,-1.61,1.67,23.7,531,255,-128,-128,6553.5,416,423,484
16/08/2017 17:02:05.409,65,8.4,-3276.8,-146,0.77,1.39,4.110,85,690.000,65535.000,255,0.000800,0.023920,0,65535,0,65535,3,0,0.54,1.39,-0.39,0.69,-1.74,0.20,23.7,528,255,-128,-128,6553.5,413,418,484
16/08/2017 17:02:06.409,82,8.8,-3276.8,165,0.42,0.48,4.110,85,644.000,65535.000,255,0.015984,0.020420,3,65535,0,65535,3,1,0.85,1.09,-0.15,0.12,-0.26,0.15,23.7,528,255,-128,-128,6553.5,413,421,483
16/08/2017 17:02:07.409,90,8.8,-3276.8,169,0.24,0.32,4.110,85,575.000,65535.000,255,0.015984,0.011340,5,65535,0,65535,3,2,0.84,1.03,-0.22,0.30,-0.28,-0.15,23.7,528,255,-128,-128,6553.5,437,452,491
16/08/2017 17:02:08.409,93,9.2,-3276.8,169,0.12,0.31,4.110,85,596.000,65535.000,255,0.010084,0.010580,4,65535,0,65535,3,3,0.75,0.96,-0.34,0.26,-0.27,-0.14,23.7,531,255,-128,-128,6553.5,414,420,483
16/08/2017 17:02:09.409,95,9.2,-3276.8,168,0.05,0.16,4.110,85,567.000,65535.000,255,0.010084,0.009020,4,65535,0,65535,0,0,0.91,0.97,-0.16,0.14,-0.22,-0.13,23.7,528,255,-128,-128,6553.5,412,418,483
16/08/2017 17:02:10.409,95,9.4,-3276.8,168,0.04,0.16,4.110,85,516.000,65535.000,255,0.002264,0.022240,3,65535,0,65535,0,0,0.75,1.02,-0.09,0.18,-0.39,-0.06,23.7,531,255,-128,-128,6553.5,416,425,485
16/08/2017 17:02:11.409,95,9.4,-3276.8,170,0.21,0.81,4.110,85,467.000,65535.000,255,0.002264,0.020020,3,65535,0,65535,0,0,0.13,1.51,-0.30,0.74,-0.45,0.93,23.7,531,255,-128,-128,6553.5,413,419,484
16/08/2017 17:02:12.409,95,9.6,-3276.8,166,0.31,0.84,4.110,85,433.000,65535.000,255,0.002264,0.030300,3,65535,0,65535,0,0,0.57,1.50,-0.25,1.36,-0.65,0.08,23.7,528,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:13.409,95,9.6,-3276.8,165,0.09,0.21,4.110,85,389.000,65535.000,255,0.002264,0.023840,3,65535,0,65535,0,1,0.80,1.01,-0.03,0.46,-0.21,-0.01,23.7,531,255,-128,-128,6553.5,415,421,484
16/08/2017 17:02:14.409,95,9.9,-3276.8,168,0.08,0.40,4.110,85,354.000,65535.000,255,0.002264,0.026220,2,65535,0,65535,0,0,0.49,1.13,0.09,0.40,-0.15,0.07,23.7,531,255,-128,-128,6553.5,420,426,485
16/08/2017 17:02:15.409,95,9.9,-3276.8,168,0.11,0.36,4.110,85,317.000,65535.000,255,0.002264,0.026760,2,65535,0,65535,0,0,0.67,1.15,0.00,0.54,-0.18,0.01,23.7,531,255,-128,-128,6553.5,413,421,484
16/08/2017 17:02:16.409,95,10.1,-3276.8,165,0.11,0.55,4.110,85,311.000,65535.000,255,0.002264,0.037240,2,65535,0,65535,0,0,0.34,1.40,-0.21,0.67,-0.24,0.08,23.7,531,255,-128,-128,6553.5,412,428,473
16/08/2017 17:02:17.409,95,10.1,-3276.8,162,0.19,0.36,4.110,85,299.000,65535.000,255,0.002264,0.029060,2,65535,0,65535,0,0,0.84,1.08,0.08,0.59,-0.16,0.02,23.7,531,255,-128,-128,6553.5,415,422,483
16/08/2017 17:02:18.409,95,10.4,-3276.8,162,0.07,0.12,4.110,85,288.000,65535.000,255,0.002264,0.019860,2,65535,0,65535,0,0,0.86,0.96,0.19,0.38,-0.18,-0.09,23.7,531,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:19.409,95,10.4,-3276.8,162,0.05,0.08,4.110,85,290.000,65535.000,255,0.002264,0.018780,2,65535,0,65535,1,0,0.87,0.96,0.16,0.32,-0.18,-0.06,23.7,531,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:20.409,95,10.6,-3276.8,163,0.03,0.08,4.110,85,270.000,65535.000,255,0.002264,0.020020,2,65535,0,65535,0,0,0.87,0.96,0.16,0.32,-0.18,-0.06,23.7,531,255,-128,-128,6553.5,414,423,484
16/08/2017 17:02:21.409,95,10.6,-3276.8,165,0.03,0.08,4.110,85,253.000,65535.000,255,0.002264,0.015580,1,65535,0,65535,0,0,0.87,0.97,0.13,0.30,-0.16,-0.09,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:22.409,95,9.8,-3276.8,167,0.11,0.25,4.110,85,262.000,65535.000,255,0.002264,0.024160,1,65535,0,65535,0,0,0.79,1.04,0.01,0.37,-0.18,0.16,23.7,531,255,-128,-128,6553.5,417,424,485
16/08/2017 17:02:23.409,95,9.8,-3276.8,165,0.28,0.36,4.110,85,253.000,65535.000,255,0.002264,0.023480,1,65535,0,65535,0,0,0.68,1.33,0.07,0.43,-0.14,0.25,23.7,531,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:24.409,95,9.5,-3276.8,172,0.23,0.90,4.110,85,248.000,65535.000,255,0.002264,0.020260,1,65535,0,65535,0,0,-0.02,1.46,-0.42,0.77,-0.21,0.34,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:25.409,95,9.5,-3276.8,178,0.44,1.02,4.110,85,232.000,65535.000,255,0.002264,0.017040,1,65535,0,65535,0,0,0.32,1.26,-0.89,0.14,-0.14,0.26,23.7,528,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:26.409,95,9.4,-3276.8,174,0.16,0.79,4.110,85,273.000,65535.000,255,0.002264,0.014160,1,65535,0,65535,0,1,0.55,1.68,-0.27,0.44,-0.15,0.16,23.7,531,255,-128,-128,6553.5,416,414,479
16/08/2017 17:02:27.409,95,9.4,-3276.8,169,0.11,0.33,4.110,85,264.000,65535.000,255,0.002264,0.008520,1,65535,0,65535,0,0,0.81,1.09,0.00,0.40,-0.20,0.02,23.7,531,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:28.409,95,9.5,-3276.8,168,0.05,0.21,4.109,84,245.000,65535.000,255,0.021220,0.005720,1,65535,0,65535,0,1,0.89,0.96,0.13,0.36,-0.18,-0.07,23.7,528,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:29.409,95,9.5,-3276.8,166,0.03,0.07,4.109,84,224.000,65535.000,255,0.021220,0.004200,1,65535,0,65535,0,2,0.91,0.96,0.19,0.22,-0.18,-0.12,23.7,528,255,-128,-128,6553.5,421,429,493
16/08/2017 17:02:30.409,95,9.5,-3276.8,166,0.01,0.04,4.109,84,211.000,65535.000,255,0.010740,0.003320,1,65535,0,65535,0,3,0.90,0.96,0.19,0.25,-0.18,-0.10,23.7,528,255,-128,-128,6553.5,416,422,484
16/08/2017 17:02:31.409,95,9.5,-3276.8,165,0.02,0.03,4.109,84,199.000,65535.000,255,0.010740,0.002920,1,65535,0,65535,1,0,0.91,0.96,0.19,0.22,-0.19,-0.09,23.7,528,255,-128,-128,6553.5,414,429,492
16/08/2017 17:02:32.409,95,9.7,-3276.8,164,0.02,0.06,4.109,84,231.000,65535.000,255,0.008760,0.002420,1,65535,0,65535,1,1,0.90,0.95,0.19,0.25,-0.21,-0.14,23.7,528,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:33.409,95,9.7,-3276.8,165,0.01,0.02,4.109,84,227.000,65535.000,255,0.008760,0.002160,1,65535,0,65535,1,2,0.90,0.95,0.19,0.24,-0.20,-0.14,23.7,528,255,-128,-128,6553.5,414,423,484
16/08/2017 17:02:34.409,95,9.9,-3276.8,165,0.01,0.02,4.109,84,213.000,65535.000,255,0.004900,0.001700,1,65535,0,65535,1,3,0.90,0.95,0.19,0.22,-0.20,-0.16,23.7,528,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:35.409,95,9.9,-3276.8,165,0.01,0.12,4.109,84,187.000,65535.000,255,0.004900,0.001920,1,65535,0,65535,1,4,0.92,1.13,0.18,0.21,-0.20,-0.15,23.7,528,255,-128,-128,6553.5,415,421,483
16/08/2017 17:02:36.409,0,10.2,-3276.8,164,0.02,0.03,4.109,84,176.000,65535.000,255,0.000800,0.002880,1,65535,0,65535,1,5,0.90,0.95,0.18,0.22,-0.20,-0.15,23.7,528,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:37.409,62,10.2,-3276.8,164,0.01,0.14,4.109,84,167.000,65535.000,255,0.000800,0.002360,1,65535,0,65535,3,0,0.83,0.96,0.18,0.34,-0.19,-0.13,23.7,528,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:38.409,77,9.5,-3276.8,165,0.01,0.03,4.109,84,168.000,65535.000,255,0.009440,0.002240,1,65535,0,65535,3,1,0.91,0.96,0.20,0.22,-0.19,-0.13,23.7,528,255,-128,-128,6553.5,415,421,484
16/08/2017 17:02:39.409,87,9.5,-3276.8,165,0.01,0.03,4.109,84,152.000,65535.000,255,0.009440,0.001620,1,65535,0,65535,3,2,0.91,0.96,0.18,0.22,-0.19,-0.12,23.7,528,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:40.409,92,9.2,-3276.8,165,0.01,0.12,4.109,84,145.000,65535.000,255,0.003500,0.001720,1,65535,0,65535,3,3,0.91,0.96,0.18,0.22,-0.37,-0.14,23.7,528,255,-128,-128,6553.5,415,421,484
16/08/2017 17:02:41.409,94,9.2,-3276.8,165,0.01,0.02,4.109,84,137.000,65535.000,255,0.003500,0.001820,1,65535,0,65535,3,4,0.91,0.96,0.19,0.22,-0.19,-0.13,23.7,528,255,-128,-128,6553.5,414,421,484
16/08/2017 17:02:42.409,95,8.8,-3276.8,165,0.01,0.03,4.109,84,126.000,65535.000,255,0.003500,0.001420,1,65535,0,65535,1,0,0.91,0.95,0.20,0.22,-0.19,-0.14,23.7,528,255,-128,-128,6553.5,414,422,484
16/08/2017 17:02:43.409,95,8.8,-3276.8,165,0.01,0.02,4.109,84,112.000,65535.000,255,0.003500,0.001320,1,65535,0,65535,1,1,0.92,0.95,0.19,0.24,-0.19,-0.14,23.7,528,255,-128,-128,6553.5,414,422,483
16/08/2017 17:02:44.409,95,8.9,-3276.8,165,0.01,0.02,4.109,84,116.000,65535.000,255,0.003260,0.001260,1,65535,0,65535,1,2,0.90,0.95,0.18,0.22,-0.19,-0.15,23.7,528,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:45.409,95,8.9,-3276.8,165,0.01,0.10,4.109,84,109.000,65535.000,255,0.003260,0.001400,1,65535,0,65535,1,3,0.91,0.95,0.18,0.37,-0.19,-0.13,23.7,528,255,-128,-128,6553.5,415,422,484
16/08/2017 17:02:46.409,95,9.2,-3276.8,165,0.01,0.02,4.109,84,103.000,65535.000,255,0.003260,0.001380,1,65535,0,65535,1,4,0.91,0.96,0.18,0.22,-0.19,-0.14,23.7,528,255,-128,-128,37.1,414,422,484
16/08/2017 17:02:47.409,94,9.2,-3276.8,165,0.01,0.02,4.109,84,100.000,65535.000,255,0.003260,0.001420,1,65535,0,65535,1,5,0.91,0.96,0.20,0.22,-0.20,-0.15,23.7,528,255,-128,-128,37.1,415,422,484
16/08/2017 17:02:48.409,94,9.7,-3276.8,165,0.01,0.03,4.109,84,104.000,65535.000,255,0.003260,0.001220,1,65535,0,65535,1,6,0.90,0.95,0.20,0.22,-0.20,-0.15,23.7,528,255,-128,-128,37.1,415,421,483
16/08/2017 17:02:49.409,94,9.7,-3276.8,165,0.01,0.02,4.109,84,95.000,65535.000,255,0.003260,0.001120,1,65535,0,65535,1,7,0.91,0.95,0.20,0.21,-0.19,-0.15,23.7,528,255,-128,-128,37.1,408,406,476
16/08/2017 17:02:50.409,94,10.6,-3276.8,165,0.00,0.03,4.109,84,93.000,65535.000,255,0.003160,0.001120,1,65535,0,65535,1,8,0.91,0.96,0.19,0.21,-0.19,-0.14,23.7,528,255,-128,-128,37.1,415,422,484
16/08/2017 17:02:51.409,94,10.6,-3276.8,165,0.01,0.02,4.109,84,92.000,65535.000,255,0.003160,0.001180,1,65535,0,65535,1,9,0.91,0.95,0.18,0.21,-0.20,-0.14,23.8,528,255,-128,-128,37.1,414,422,484
16/08/2017 17:02:52.409,95,11.3,-3276.8,165,0.01,0.03,4.108,84,99.000,65535.000,255,0.003160,0.001300,1,65535,0,65535,0,0,0.90,0.95,0.20,0.24,-0.19,-0.15,23.8,531,255,-128,-128,37.1,417,424,485
