Time,RtoR
24/08/2017 08:02:34.412,67
,26489
,27
,329
,257
,330
,201
,322
,274
,1121
,244
,1659
,3423
,697
,232
,498
,413
,390
,298
,242
,225
,86
,299
,385
,191
,998
,170
,215
,348
,297
,175
,249
,372
,447
,741
,5383
,7271
,218
,2317
,590
,3353
,2729
,617
,1215
,432
,719
,576
,615
,159
,516
,659
,672
,676
,658
,645
,652
,647
,650
,640
,645
,658
,656
,656
,644
,642
,639
,630
,639
,644
,648
,649
,661
,659
,661
,649
,663
,656
,652
,639
,642
,645
,652
,639
,631
,650
,669
,677
,655
,653
,648
,638
,621
,633
,649
,665
,654
,653
,660
,675
,652
,655
,641
,648
,644
,643
,655
,682
,700
,679
,700
,713
,704
,680
,665
,662
,654
,645
,656
,688
,714
,722
,735
,733
,719
,673
,671
,653
,646
,633
,650
,671
,671
,666
,685
,711
,733
,689
,708
,710
,705
,843
,511
,660
,677
,670
,676
,689
,687
,672
,668
,681
,684
,690
,674
,697
,720
,735
,707
,715
,706
,707
,695
,683
,695
,681
,666
,677
,684
,674
,674
,698
,702
,695
,695
,699
,714
,692
,686
,693
,700
,673
,664
,672
,684
,699
,699
,706
,721
,716
,702
,700
,708
,706
,699
,702
,705
,712
,701
,692
,707
,706
,672
,673
,681
,703
,697
,677
,704
,701
,714
,686
,696
,702
,709
,699
,701
,683
,658
,648
,669
,688
,683
,673
,659
,675
,694
,734
,735
,725
,714
,699
,674
,663
,652
,648
,647
,661
,674
,670
,652
,664
,713
,737
,703
,686
,705
,701
,696
,684
,689
,696
,697
,682
,702
,700
,708
,670
,669
,694
,698
,714
,697
,697
,713
,706
,711
,719
,721
,711
,705
,703
,704
,716
,688
,680
,682
,682
,682
,678
,670
,698
,700
,697
,676
,681
,690
,700
,700
,686
,698
,697
,695
,682
,684
,685
,697
,676
,673
,675
,675
,677
,664
,658
,664
,669
,678
,670
,684
,698
,714
,693
,673
,667
,671
,667
,654
,657
,665
,687
,699
,691
,703
,706
,718
,701
,684
,698
,710
,701
,700
,696
,688
,689
,682
,682
,695
,706
,694
,675
,685
,707
,716
,719
,701
,699
,702
,710
,692
,686
,689
,693
,695
,698
,716
,710
,718
,711
,694
,696
,705
,700
,700
,704
,703
,715
,698
,687
,676
,679
,684
,662
,653
,666
,689
,703
,697
,686
,696
,708
,697
,673
,656
,680
,706
,717
,690
,681
,680
,691
,702
,694
,709
,716
,734
,715
,724
,728
,724
,690
,685
,681
,662
,635
,648
,703
,711
,736
,741
,727
,691
,698
,716
,713
,713
,706
,709
,692
,698
,707
,691
,758
,514
,638
,642
,664
,697
,757
,848
,925
,884
,836
,1517
,681
,647
,631
,616
,602
,601
,614
,640
,714
,839
,870
,814
,791
,761
,734
,697
,672
,657
,640
,630
,623
,624
,663
,714
,727
,726
,717
,707
,692
,689
,679
,682
,670
,657
,641
,628
,630
,656
,678
,695
,731
,731
,726
,714
,1409
,677
,667
,657
,634
,627
,621
,631
,670
,690
,701
,667
,679
,695
,668
,650
,675
,672
,665
,663
,665
,681
,696
,666
,649
,636
,642
,639
,619
,618
,634
,646
,642
,637
,645
,657
,681
,746
,806
,767
,725
,710
,692
,690
,687
,690
,689
,670
,676
,682
,709
,725
,759
,741
,751
,727
,714
,698
,685
,678
,675
,652
,639
,628
,626
,620
,614
,605
,594
,587
,579
,571
,568
,605
,652
,673
,668
,640
,631
,635
,633
,669
,711
,728
,719
,699
,686
,686
,670
,688
,699
,692
,662
,662
,679
,708
,752
,789
,760
,769
,744
,732
,715
,702
,684
,671
,649
,635
,629
,627
,642
,690
,716
,727
,720
,721
,721
,707
,713
,711
,683
,663
,652
,651
,663
,687
,717
,719
