Time,BreathingWaveform
15/08/2017 13:08:41.441,6727272
15/08/2017 13:08:41.481,6725747
15/08/2017 13:08:41.521,6725747
15/08/2017 13:08:41.561,6726483
15/08/2017 13:08:41.601,6726483
15/08/2017 13:08:41.641,6725957
15/08/2017 13:08:41.681,6726220
15/08/2017 13:08:41.721,6725590
15/08/2017 13:08:41.761,6725379
15/08/2017 13:08:41.801,6725432
15/08/2017 13:08:41.841,6725011
15/08/2017 13:08:41.881,6725432
15/08/2017 13:08:41.921,6724380
15/08/2017 13:08:41.961,6723697
15/08/2017 13:08:42.001,6723749
15/08/2017 13:08:42.041,6723066
15/08/2017 13:08:42.081,6722751
15/08/2017 13:08:42.121,6721436
15/08/2017 13:08:42.161,6721594
15/08/2017 13:08:42.201,6721962
15/08/2017 13:08:42.241,6721436
15/08/2017 13:08:42.281,6721016
15/08/2017 13:08:42.321,6721226
15/08/2017 13:08:42.361,6720385
15/08/2017 13:08:42.401,6719964
15/08/2017 13:08:42.441,6720175
15/08/2017 13:08:42.481,6718177
15/08/2017 13:08:42.521,6718019
15/08/2017 13:08:42.561,6717493
15/08/2017 13:08:42.601,6717073
15/08/2017 13:08:42.641,6717178
15/08/2017 13:08:42.681,6716705
15/08/2017 13:08:42.721,6716389
15/08/2017 13:08:42.761,6716757
15/08/2017 13:08:42.801,6716652
15/08/2017 13:08:42.841,6716284
15/08/2017 13:08:42.881,6716705
15/08/2017 13:08:42.921,6714024
15/08/2017 13:08:42.961,6714129
15/08/2017 13:08:43.001,6714339
15/08/2017 13:08:43.041,6714655
15/08/2017 13:08:43.081,6714707
15/08/2017 13:08:43.121,6714024
15/08/2017 13:08:43.161,6713971
15/08/2017 13:08:43.201,6714076
15/08/2017 13:08:43.241,6714602
15/08/2017 13:08:43.281,6714076
15/08/2017 13:08:43.321,6713603
15/08/2017 13:08:43.361,6713025
15/08/2017 13:08:43.401,6712762
15/08/2017 13:08:43.441,6712237
15/08/2017 13:08:43.481,6710975
15/08/2017 13:08:43.521,6711711
15/08/2017 13:08:43.561,6711816
15/08/2017 13:08:43.601,6711658
15/08/2017 13:08:43.641,6711290
15/08/2017 13:08:43.681,6711185
15/08/2017 13:08:43.721,6710449
15/08/2017 13:08:43.761,6710081
15/08/2017 13:08:43.801,6709976
15/08/2017 13:08:43.841,6710396
15/08/2017 13:08:43.881,6709608
15/08/2017 13:08:43.921,6709240
15/08/2017 13:08:43.961,6709503
15/08/2017 13:08:44.001,6708399
15/08/2017 13:08:44.041,6709345
15/08/2017 13:08:44.081,6708924
15/08/2017 13:08:44.121,6708294
15/08/2017 13:08:44.161,6708241
15/08/2017 13:08:44.201,6708294
15/08/2017 13:08:44.241,6707978
15/08/2017 13:08:44.281,6707137
15/08/2017 13:08:44.321,6708662
15/08/2017 13:08:44.361,6707400
15/08/2017 13:08:44.401,6707242
15/08/2017 13:08:44.441,6706822
15/08/2017 13:08:44.481,6707400
15/08/2017 13:08:44.521,6707032
15/08/2017 13:08:44.561,6706769
15/08/2017 13:08:44.601,6706244
15/08/2017 13:08:44.641,6706769
15/08/2017 13:08:44.681,6705770
15/08/2017 13:08:44.721,6706454
15/08/2017 13:08:44.761,6705665
15/08/2017 13:08:44.801,6704614
15/08/2017 13:08:44.841,6704614
15/08/2017 13:08:44.881,6703930
15/08/2017 13:08:44.921,6703878
15/08/2017 13:08:44.961,6703930
15/08/2017 13:08:45.001,6703089
15/08/2017 13:08:45.041,6703825
15/08/2017 13:08:45.081,6702826
15/08/2017 13:08:45.121,6702826
15/08/2017 13:08:45.161,6702458
15/08/2017 13:08:45.201,6702826
15/08/2017 13:08:45.241,6702721
15/08/2017 13:08:45.281,6702143
15/08/2017 13:08:45.321,6702984
15/08/2017 13:08:45.361,6701722
15/08/2017 13:08:45.401,6701722
15/08/2017 13:08:45.441,6702774
15/08/2017 13:08:45.481,6702353
15/08/2017 13:08:45.521,6702984
15/08/2017 13:08:45.561,6702458
15/08/2017 13:08:45.601,6702406
15/08/2017 13:08:45.641,6702931
15/08/2017 13:08:45.681,6703773
15/08/2017 13:08:45.721,6703142
15/08/2017 13:08:45.761,6703352
15/08/2017 13:08:45.801,6703562
15/08/2017 13:08:45.841,6703352
15/08/2017 13:08:45.881,6703142
15/08/2017 13:08:45.921,6703299
15/08/2017 13:08:45.961,6703037
15/08/2017 13:08:46.001,6702406
15/08/2017 13:08:46.041,6702301
15/08/2017 13:08:46.081,6701354
15/08/2017 13:08:46.121,6701617
15/08/2017 13:08:46.161,6701197
15/08/2017 13:08:46.201,6701039
15/08/2017 13:08:46.241,6702143
15/08/2017 13:08:46.281,6702616
15/08/2017 13:08:46.321,6701407
15/08/2017 13:08:46.361,6701354
15/08/2017 13:08:46.401,6701617
15/08/2017 13:08:46.441,6701512
15/08/2017 13:08:46.481,6701249
15/08/2017 13:08:46.521,6701197
15/08/2017 13:08:46.561,6701880
15/08/2017 13:08:46.601,6701144
15/08/2017 13:08:46.641,6701354
15/08/2017 13:08:46.681,6701092
15/08/2017 13:08:46.721,6700934
15/08/2017 13:08:46.761,6700881
15/08/2017 13:08:46.801,6700986
15/08/2017 13:08:46.841,6701092
15/08/2017 13:08:46.881,6700513
15/08/2017 13:08:46.921,6701144
15/08/2017 13:08:46.961,6700356
15/08/2017 13:08:47.001,6699672
15/08/2017 13:08:47.041,6700040
15/08/2017 13:08:47.081,6700934
15/08/2017 13:08:47.121,6699672
15/08/2017 13:08:47.161,6699199
15/08/2017 13:08:47.201,6698673
15/08/2017 13:08:47.241,6698726
15/08/2017 13:08:47.281,6698673
15/08/2017 13:08:47.321,6698779
15/08/2017 13:08:47.361,6698621
