Time,BreathingWaveform
17/08/2017 08:20:21.252,6426095
17/08/2017 08:20:21.292,6430984
17/08/2017 08:20:21.332,6432561
17/08/2017 08:20:21.372,6452433
17/08/2017 08:20:21.412,6489390
17/08/2017 08:20:21.452,6541382
17/08/2017 08:20:21.492,6553631
17/08/2017 08:20:21.532,6549636
17/08/2017 08:20:21.572,6547322
17/08/2017 08:20:21.612,6528555
17/08/2017 08:20:21.652,6486919
17/08/2017 08:20:21.692,6457164
17/08/2017 08:20:21.732,6447281
17/08/2017 08:20:21.772,6441866
17/08/2017 08:20:21.812,6436609
17/08/2017 08:20:21.852,6434821
17/08/2017 08:20:21.892,6451066
17/08/2017 08:20:21.932,6450803
17/08/2017 08:20:21.972,6453852
17/08/2017 08:20:22.012,6449278
17/08/2017 08:20:22.052,6449331
17/08/2017 08:20:22.092,6449068
17/08/2017 08:20:22.132,6447281
17/08/2017 08:20:22.172,6447806
17/08/2017 08:20:22.212,6446965
17/08/2017 08:20:22.252,6445283
17/08/2017 08:20:22.292,6446440
17/08/2017 08:20:22.332,6465313
17/08/2017 08:20:22.372,6442497
17/08/2017 08:20:22.412,6480663
17/08/2017 08:20:22.452,6533707
17/08/2017 08:20:22.492,6566616
17/08/2017 08:20:22.532,6591902
17/08/2017 08:20:22.572,6597159
17/08/2017 08:20:22.612,6581914
17/08/2017 08:20:22.652,6577656
17/08/2017 08:20:22.692,6579496
17/08/2017 08:20:22.732,6587749
17/08/2017 08:20:22.772,6602469
17/08/2017 08:20:22.812,6615454
17/08/2017 08:20:22.852,6621079
17/08/2017 08:20:22.892,6618976
17/08/2017 08:20:22.932,6621920
17/08/2017 08:20:22.972,6658614
17/08/2017 08:20:23.012,6706559
17/08/2017 08:20:23.052,6750981
17/08/2017 08:20:23.092,6784942
17/08/2017 08:20:23.132,6801764
17/08/2017 08:20:23.172,6810596
17/08/2017 08:20:23.212,6815853
17/08/2017 08:20:23.252,6815222
17/08/2017 08:20:23.292,6817956
17/08/2017 08:20:23.332,6815801
17/08/2017 08:20:23.372,6814539
17/08/2017 08:20:23.412,6813382
17/08/2017 08:20:23.452,6810859
17/08/2017 08:20:23.492,6810544
17/08/2017 08:20:23.532,6807389
17/08/2017 08:20:23.572,6804708
17/08/2017 08:20:23.612,6802921
17/08/2017 08:20:23.652,6808020
17/08/2017 08:20:23.692,6807967
17/08/2017 08:20:23.732,6805234
17/08/2017 08:20:23.772,6806601
17/08/2017 08:20:23.812,6807547
17/08/2017 08:20:23.852,6809440
17/08/2017 08:20:23.892,6810228
17/08/2017 08:20:23.932,6810754
17/08/2017 08:20:23.972,6809755
17/08/2017 08:20:24.012,6808651
17/08/2017 08:20:24.052,6805707
17/08/2017 08:20:24.092,6802185
17/08/2017 08:20:24.132,6796928
17/08/2017 08:20:24.172,6794877
17/08/2017 08:20:24.212,6787780
17/08/2017 08:20:24.252,6782313
17/08/2017 08:20:24.292,6776898
17/08/2017 08:20:24.332,6768277
17/08/2017 08:20:24.372,6760233
17/08/2017 08:20:24.412,6753820
17/08/2017 08:20:24.452,6747511
17/08/2017 08:20:24.492,6734369
17/08/2017 08:20:24.532,6715023
17/08/2017 08:20:24.572,6713393
17/08/2017 08:20:24.612,6713498
17/08/2017 08:20:24.652,6716127
17/08/2017 08:20:24.692,6694363
17/08/2017 08:20:24.732,6663924
17/08/2017 08:20:24.772,6625232
17/08/2017 08:20:24.812,6562305
17/08/2017 08:20:24.852,6532498
17/08/2017 08:20:24.892,6523456
17/08/2017 08:20:24.932,6516358
17/08/2017 08:20:24.972,6514256
17/08/2017 08:20:25.012,6533444
17/08/2017 08:20:25.052,6509524
17/08/2017 08:20:25.092,6479822
17/08/2017 08:20:25.132,6491650
17/08/2017 08:20:25.172,6491177
17/08/2017 08:20:25.212,6488916
17/08/2017 08:20:25.252,6485920
17/08/2017 08:20:25.292,6480821
17/08/2017 08:20:25.332,6478823
17/08/2017 08:20:25.372,6475774
17/08/2017 08:20:25.412,6475984
17/08/2017 08:20:25.452,6475248
17/08/2017 08:20:25.492,6473881
17/08/2017 08:20:25.532,6476247
17/08/2017 08:20:25.572,6467625
17/08/2017 08:20:25.612,6463735
17/08/2017 08:20:25.652,6457216
17/08/2017 08:20:25.692,6456743
17/08/2017 08:20:25.732,6450014
17/08/2017 08:20:25.772,6455166
17/08/2017 08:20:25.812,6450750
17/08/2017 08:20:25.852,6448595
17/08/2017 08:20:25.892,6445861
17/08/2017 08:20:25.932,6445914
17/08/2017 08:20:25.972,6447070
17/08/2017 08:20:26.012,6442549
17/08/2017 08:20:26.052,6444705
17/08/2017 08:20:26.092,6446808
17/08/2017 08:20:26.132,6448227
17/08/2017 08:20:26.172,6450540
17/08/2017 08:20:26.212,6449804
17/08/2017 08:20:26.252,6448805
17/08/2017 08:20:26.292,6449121
17/08/2017 08:20:26.332,6447701
17/08/2017 08:20:26.372,6446597
17/08/2017 08:20:26.412,6444915
17/08/2017 08:20:26.452,6443916
17/08/2017 08:20:26.492,6442812
17/08/2017 08:20:26.532,6443548
17/08/2017 08:20:26.572,6444442
17/08/2017 08:20:26.612,6442076
17/08/2017 08:20:26.652,6442707
17/08/2017 08:20:26.692,6444862
17/08/2017 08:20:26.732,6444757
17/08/2017 08:20:26.772,6443390
17/08/2017 08:20:26.812,6441866
17/08/2017 08:20:26.852,6441866
17/08/2017 08:20:26.892,6441288
17/08/2017 08:20:26.932,6441761
17/08/2017 08:20:26.972,6440499
17/08/2017 08:20:27.012,6438659
17/08/2017 08:20:27.052,6437765
17/08/2017 08:20:27.092,6438817
17/08/2017 08:20:27.132,6438238
17/08/2017 08:20:27.172,6437134
17/08/2017 08:20:27.212,6438081
17/08/2017 08:20:27.252,6438922
17/08/2017 08:20:27.292,6438396
17/08/2017 08:20:27.332,6439395
17/08/2017 08:20:27.372,6438081
17/08/2017 08:20:27.412,6438975
17/08/2017 08:20:27.452,6438501
17/08/2017 08:20:27.492,6438133
17/08/2017 08:20:27.532,6437450
17/08/2017 08:20:27.572,6437502
17/08/2017 08:20:27.612,6436924
17/08/2017 08:20:27.652,6436714
17/08/2017 08:20:27.692,6436398
17/08/2017 08:20:27.732,6436924
17/08/2017 08:20:27.772,6436819
17/08/2017 08:20:27.812,6436504
17/08/2017 08:20:27.852,6436609
17/08/2017 08:20:27.892,6436714
17/08/2017 08:20:27.932,6436398
17/08/2017 08:20:27.972,6435873
17/08/2017 08:20:28.012,6435242
17/08/2017 08:20:28.052,6435084
17/08/2017 08:20:28.092,6434138
17/08/2017 08:20:28.132,6432982
17/08/2017 08:20:28.172,6432982
17/08/2017 08:20:28.212,6433823
17/08/2017 08:20:28.252,6433665
17/08/2017 08:20:28.292,6434664
17/08/2017 08:20:28.332,6435715
17/08/2017 08:20:28.372,6436504
17/08/2017 08:20:28.412,6434927
17/08/2017 08:20:28.452,6434138
17/08/2017 08:20:28.492,6431772
17/08/2017 08:20:28.532,6431930
17/08/2017 08:20:28.572,6432824
17/08/2017 08:20:28.612,6432929
17/08/2017 08:20:28.652,6434401
17/08/2017 08:20:28.692,6433665
17/08/2017 08:20:28.732,6432140
17/08/2017 08:20:28.772,6432929
17/08/2017 08:20:28.812,6433455
17/08/2017 08:20:28.852,6432456
17/08/2017 08:20:28.892,6434664
17/08/2017 08:20:28.932,6433560
17/08/2017 08:20:28.972,6432876
17/08/2017 08:20:29.012,6433507
17/08/2017 08:20:29.052,6433455
17/08/2017 08:20:29.092,6431982
17/08/2017 08:20:29.132,6432666
17/08/2017 08:20:29.172,6432824
17/08/2017 08:20:29.212,6433665
17/08/2017 08:20:29.252,6430668
17/08/2017 08:20:29.292,6432035
17/08/2017 08:20:29.332,6431457
17/08/2017 08:20:29.372,6433402
17/08/2017 08:20:29.412,6432456
17/08/2017 08:20:29.452,6434243
17/08/2017 08:20:29.492,6427987
17/08/2017 08:20:29.532,6429880
17/08/2017 08:20:29.572,6428618
17/08/2017 08:20:29.612,6430721
17/08/2017 08:20:29.652,6429196
17/08/2017 08:20:29.692,6429407
17/08/2017 08:20:29.732,6428460
17/08/2017 08:20:29.772,6428460
17/08/2017 08:20:29.812,6429985
17/08/2017 08:20:29.852,6428934
17/08/2017 08:20:29.892,6430090
