Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
08/08/2017 12:55:59.417,65,8.1,-3276.8,-89,0.15,0.31,4.170,95,5691.000,65535.000,255,0.000000,0.005320,0,65535,0,65535,1,2,-0.15,0.22,0.01,0.28,0.96,1.18,23.3,535,255,-128,-128,6553.5,414,421,483
08/08/2017 12:56:00.417,65,8.1,-3276.8,-91,0.07,0.14,4.170,95,5048.000,65535.000,255,0.000000,0.007100,0,65535,0,65535,1,3,0.01,0.12,0.16,0.20,0.97,1.07,23.3,531,255,-128,-128,6553.5,425,432,490
08/08/2017 12:56:01.417,65,7.3,-3276.8,-92,0.04,0.08,4.170,95,4436.000,65535.000,255,0.016640,0.006120,0,65535,0,65535,0,0,0.01,0.13,0.18,0.20,0.97,1.04,23.3,531,255,-128,-128,6553.5,414,422,484
08/08/2017 12:56:02.417,65,7.3,-3276.8,-92,0.02,0.06,4.170,95,3823.000,65535.000,255,0.016640,0.004800,0,65535,0,65535,0,0,0.01,0.10,0.16,0.19,0.97,1.07,23.3,531,255,-128,-128,6553.5,414,422,484
08/08/2017 12:56:03.417,65,6.6,-3276.8,-93,0.02,0.08,4.170,95,3324.000,65535.000,255,0.014540,0.006100,0,65535,0,65535,0,0,0.02,0.15,0.15,0.20,0.97,1.07,23.3,531,255,-128,-128,6553.5,415,422,484
08/08/2017 12:56:04.417,65,6.6,-3276.8,-94,0.03,0.08,4.170,95,2852.000,65535.000,255,0.014540,0.004740,0,65535,0,65535,0,0,0.06,0.15,0.18,0.21,0.97,1.04,23.3,531,255,-128,-128,6553.5,408,415,469
08/08/2017 12:56:05.417,65,6.9,-3276.8,-94,0.02,0.04,4.170,95,2477.000,65535.000,255,0.008120,0.003740,0,65535,0,65535,0,0,0.06,0.14,0.18,0.22,0.97,1.04,23.3,531,255,-128,-128,6553.5,415,422,485
08/08/2017 12:56:06.417,0,6.9,-3276.8,-94,0.01,0.03,4.170,95,2125.000,65535.000,255,0.000800,0.003300,0,65535,0,65535,0,0,0.04,0.13,0.19,0.21,0.96,1.03,23.3,531,255,-128,-128,6553.5,415,422,484
08/08/2017 12:56:07.417,0,7.2,-3276.8,-95,0.02,0.04,4.170,95,1845.000,65535.000,255,0.000800,0.003140,0,65535,0,65535,0,0,0.04,0.14,0.19,0.21,0.97,1.03,23.3,531,255,-128,-128,6553.5,414,422,484
08/08/2017 12:56:08.417,0,7.2,-3276.8,-96,0.02,0.04,4.170,95,1583.000,65535.000,255,0.000800,0.002920,0,65535,0,65535,0,0,0.07,0.15,0.19,0.21,0.97,1.03,23.3,531,255,-128,-128,6553.5,414,421,483
08/08/2017 12:56:09.417,0,7.5,-3276.8,-96,0.01,0.04,4.170,95,1375.000,65535.000,255,0.000800,0.002840,0,65535,0,65535,0,0,0.06,0.14,0.18,0.21,0.97,1.04,23.3,531,255,-128,-128,6553.5,415,422,484
08/08/2017 12:56:10.417,0,7.5,-3276.8,-96,0.01,0.03,4.170,95,1180.000,65535.000,255,0.000800,0.002960,0,65535,0,65535,0,0,0.07,0.15,0.18,0.21,0.97,1.04,23.3,531,255,-128,-128,6553.5,414,422,484
08/08/2017 12:56:11.417,0,6.7,-3276.8,-96,0.01,0.12,4.170,95,1025.000,65535.000,255,0.000800,0.003700,0,65535,0,65535,0,0,0.02,0.14,0.18,0.21,0.96,1.10,23.3,531,255,-128,-128,6553.5,431,435,491
08/08/2017 12:56:12.417,0,6.7,-3276.8,-94,0.14,0.59,4.170,95,900.000,65535.000,255,0.000800,0.013600,0,65535,0,65535,0,0,-0.38,0.56,-0.08,0.66,0.65,1.44,23.3,531,255,-128,-128,6553.5,415,422,483
08/08/2017 12:56:13.417,0,6.4,-3276.8,-100,0.36,0.72,4.170,95,791.000,65535.000,255,0.000800,0.013620,0,65535,0,65535,0,0,-0.12,0.62,0.15,0.81,0.28,1.34,23.3,531,255,-128,-128,6553.5,414,422,484
08/08/2017 12:56:14.417,0,6.4,-3276.8,-119,0.77,2.00,4.170,95,694.000,65535.000,255,0.000800,0.017980,0,65535,0,65535,0,0,-1.07,2.00,-0.26,1.08,-1.71,1.21,23.3,531,255,-128,-128,6553.5,415,423,484
