Time,BtoB
24/08/2017 15:14:33.418,6000
,1670
,5890
,4730
,9040
,660
,9320
,5780
,6430
,3100
,1470
,1350
,2270
,8150
,3160
,1740
,3070
,5460
,860
,1110
,3280
,3600
,7270
,2120
,1100
,2440
,1810
,2010
,2270
,1860
,1540
,1510
,1630
,1590
,1620
,1350
,2460
,2980
,3180
,2680
,2210
,1990
,2090
,1510
,4510
,7200
,7500
,4570
,2930
,2580
,2170
,2680
,1910
,1830
,2460
,1940
,2110
,3890
,2370
,2070
,3610
,2470
,3290
,2770
,1250
,1160
,1880
,2460
,3190
,1770
,1950
,2360
,2170
,2050
,2070
,1810
,2020
,3190
,2500
,2920
,1640
,3160
,4250
,2750
,1920
,1530
,3100
,10570
,6780
,1510
,1170
,1750
,4300
,2680
,2070
,2080
,1870
,2500
,1830
,2180
,1660
,2230
,1390
,1970
,1490
,2800
,1820
,2120
,970
,3020
,2220
,2330
,3050
,1590
,1790
,2520
,1530
,2110
,2400
,2330
,2390
,2400
,2140
,2450
,2400
,2400
,2040
,2340
,2290
,2420
,2100
,2090
,2580
,2430
,2450
,2420
,2270
,1920
,2460
,3310
,4560
,4000
,1360
,4110
,10120
,9940
,10100
,11090
,9550
,7200
,4490
,7350
,10920
,9300
,10200
,10210
,12510
,7230
,5040
,7730
,8500
,9000
,9140
,10290
,5440
,5640
,5740
,8370
,6090
,10880
,9060
,10080
,11590
,8420
,10050
,10080
,10460
,6790
,4090
,2050
,5980
,10450
,6370
,3130
,8480
,1110
,1730
,2870
,7770
,10230
,1330
,2150
,1780
,410
,1650
,990
,1870
,6310
,4480
,3350
,760
,3490
,4260
,3230
,1770
,2510
,1080
,1450
,3580
,590
,9100
,640
,2760
,14030
,2670
,2550
,4180
,2380
,3420
,3040
,450
,1960
,3110
,2390
,4200
,1970
,3060
,2890
,2800
,2050
,2720
,1890
,4260
,1330
,5700
,4740
,8100
,5190
,3050
,760
,870
,3810
,2390
,2320
,2380
,2360
,2360
,1990
,2410
,1800
,2250
,1560
,2380
,2070
,3710
,3610
,4710
,8120
,2520
,1830
,2310
,3660
,2830
,3190
,2670
,2590
,3540
,2610
,3630
,2690
,2210
,2270
,2400
,2400
,2250
,2320
,2180
,3790
,2080
,1920
,3220
,2410
,2370
,1760
,4030
,9510
,17930
,3440
,1020
,1190
,4450
,4390
,6840
,6430
,830
,3900
,3100
,4870
,1670
,1180
,3980
,640
,7300
,3110
,8120
,13690
,2150
,1360
,1920
,3910
,3330
,410
,2940
,2840
,2580
,2260
,3010
,6080
,7770
,3110
,3320
,2420
,2730
,2760
,2570
,2710
,2720
,2150
,2580
,2270
,2440
,2570
,2540
,2340
,2610
,2810
,2870
,2390
,2550
,3050
,3090
,2690
,2520
,2430
,3470
,2660
,2560
,2700
,2610
,2570
,3200
,2930
,2710
,3580
,3400
,4370
,3150
,3270
,3120
,3440
,2950
,2780
,3600
,1460
,480
,2170
,2490
,2590
,3100
,3080
,2910
,2540
,2540
,2660
,2460
,2670
,3030
,2670
,3940
,2920
,2530
,5060
,1620
,3550
,2230
,2910
,1380
,2990
,1740
,1590
,2150
,1970
,2780
,860
,2560
,3740
,5250
,1150
,3390
,3660
,1420
,1310
,1980
,1870
,1120
,2350
,1660
,3030
,8030
,3320
,3400
,2000
,1210
,1440
,3040
,960
,2360
,2400
,2280
,4210
,3770
,4940
,2710
,1960
,1850
,2780
,5540
,2590
,1610
,2800
,2640
,2310
,1400
,3060
,3570
,960
,2310
,1370
,1070
,3770
,3740
,1210
,2240
,1650
,3740
,3280
,1310
,2690
,2630
,1040
,1510
,2450
,4420
,3690
,1340
,270
,1880
,940
,1500
,1560
,1350
,860
,1000
,970
,1600
,3850
,1150
,3020
,670
,1310
,1960
,1080
,1350
,1650
,2110
,3830
,2570
,1410
,1420
,1360
,2860
,1010
,720
,1840
,2360
,4050
,7280
,3440
,3910
,1720
,1040
,1890
,1290
,510
,1010
,2020
,1040
,2160
,1980
,3000
,1260
,1560
,480
,1080
,3040
,580
,990
,2380
,1180
,1230
,1680
,1800
,1940
,1840
,3730
,2300
,1480
,810
,2370
,930
,2300
,1840
,1610
,2190
,1270
,970
,4710
,2300
,3870
,7980
,1950
,1380
,1120
,1470
,1440
,6330
,6810
,6340
,3830
,3250
,1450
,3710
,4930
,360
,4760
,7760
,5210
,8260
,2490
,2830
,3180
,2930
,4750
,3490
,2440
,2510
,2720
,2450
,2790
,3270
,2450
,2940
,2440
,2440
,2570
,2500
,3560
,2870
,3830
,2510
,2300
,2260
,2450
,4390
,13840
,1010
,1810
,2010
,2320
,2810
,2530
,2390
,2680
,2660
,2290
,2220
,2510
,4870
,2840
,2430
,2470
,2670
,2140
,2550
,3610
,2010
,3470
,2300
,2640
,2600
,1940
,950
,2360
,3070
,2320
,2720
,2980
,2500
,2860
,2900
,2390
,2320
,3210
,3050
,3230
,1970
,3420
,2670
,2720
,1560
,2460
,2610
,2180
,2660
,2030
,3230
,2140
,2730
,2000
,2750
,2700
,3310
,2520
,2010
,2970
,2180
,3120
,3380
,2030
,2400
,2460
,2780
,2780
,2450
,2580
,1980
,2610
,2940
,2790
,3290
,720
,2120
,5020
