Time,BreathingWaveform
11/08/2017 12:18:39.426,6659403
11/08/2017 12:18:39.466,6658982
11/08/2017 12:18:39.506,6657826
11/08/2017 12:18:39.546,6657826
11/08/2017 12:18:39.586,6657826
11/08/2017 12:18:39.626,6657353
11/08/2017 12:18:39.666,6657195
11/08/2017 12:18:39.706,6657248
11/08/2017 12:18:39.746,6656985
11/08/2017 12:18:39.786,6656617
11/08/2017 12:18:39.826,6657142
11/08/2017 12:18:39.866,6656669
11/08/2017 12:18:39.906,6655881
11/08/2017 12:18:39.946,6656564
11/08/2017 12:18:39.986,6656091
11/08/2017 12:18:40.026,6656039
11/08/2017 12:18:40.066,6655408
11/08/2017 12:18:40.106,6655145
11/08/2017 12:18:40.146,6656249
11/08/2017 12:18:40.186,6655040
11/08/2017 12:18:40.226,6654672
11/08/2017 12:18:40.266,6654304
11/08/2017 12:18:40.306,6653988
11/08/2017 12:18:40.346,6654409
11/08/2017 12:18:40.386,6654356
11/08/2017 12:18:40.426,6654199
11/08/2017 12:18:40.466,6653831
11/08/2017 12:18:40.506,6654041
11/08/2017 12:18:40.546,6653410
11/08/2017 12:18:40.586,6653358
11/08/2017 12:18:40.626,6652990
11/08/2017 12:18:40.666,6652937
11/08/2017 12:18:40.706,6652201
11/08/2017 12:18:40.746,6652674
11/08/2017 12:18:40.786,6652621
11/08/2017 12:18:40.826,6651202
11/08/2017 12:18:40.866,6651465
11/08/2017 12:18:40.906,6651465
11/08/2017 12:18:40.946,6651412
11/08/2017 12:18:40.986,6650519
11/08/2017 12:18:41.026,6651465
11/08/2017 12:18:41.066,6650308
11/08/2017 12:18:41.106,6650361
11/08/2017 12:18:41.146,6650045
11/08/2017 12:18:41.186,6650045
11/08/2017 12:18:41.226,6649467
11/08/2017 12:18:41.266,6649520
11/08/2017 12:18:41.306,6649047
11/08/2017 12:18:41.346,6649467
11/08/2017 12:18:41.386,6648994
11/08/2017 12:18:41.426,6648626
11/08/2017 12:18:41.466,6647943
11/08/2017 12:18:41.506,6648258
11/08/2017 12:18:41.546,6648468
11/08/2017 12:18:41.586,6648416
11/08/2017 12:18:41.626,6647785
11/08/2017 12:18:41.666,6647732
11/08/2017 12:18:41.706,6647364
11/08/2017 12:18:41.746,6646891
11/08/2017 12:18:41.786,6647207
11/08/2017 12:18:41.826,6646208
11/08/2017 12:18:41.866,6646576
11/08/2017 12:18:41.906,6645892
11/08/2017 12:18:41.946,6646050
11/08/2017 12:18:41.986,6645997
11/08/2017 12:18:42.026,6645945
11/08/2017 12:18:42.066,6645840
11/08/2017 12:18:42.106,6645314
11/08/2017 12:18:42.146,6645472
11/08/2017 12:18:42.186,6644946
11/08/2017 12:18:42.226,6644999
11/08/2017 12:18:42.266,6644578
11/08/2017 12:18:42.306,6644683
11/08/2017 12:18:42.346,6643264
11/08/2017 12:18:42.386,6643895
11/08/2017 12:18:42.426,6643369
11/08/2017 12:18:42.466,6643947
11/08/2017 12:18:42.506,6643684
11/08/2017 12:18:42.546,6643264
11/08/2017 12:18:42.586,6643211
11/08/2017 12:18:42.626,6643316
11/08/2017 12:18:42.666,6642686
11/08/2017 12:18:42.706,6643211
11/08/2017 12:18:42.746,6643316
11/08/2017 12:18:42.786,6642265
11/08/2017 12:18:42.826,6642475
11/08/2017 12:18:42.866,6642002
11/08/2017 12:18:42.906,6642370
11/08/2017 12:18:42.946,6642370
11/08/2017 12:18:42.986,6642212
11/08/2017 12:18:43.026,6642002
11/08/2017 12:18:43.066,6641950
11/08/2017 12:18:43.106,6641897
11/08/2017 12:18:43.146,6642475
11/08/2017 12:18:43.186,6642055
11/08/2017 12:18:43.226,6642318
11/08/2017 12:18:43.266,6642212
11/08/2017 12:18:43.306,6642686
11/08/2017 12:18:43.346,6642791
11/08/2017 12:18:43.386,6642002
11/08/2017 12:18:43.426,6641687
11/08/2017 12:18:43.466,6642580
11/08/2017 12:18:43.506,6641214
11/08/2017 12:18:43.546,6641266
11/08/2017 12:18:43.586,6641003
11/08/2017 12:18:43.626,6640741
11/08/2017 12:18:43.666,6641214
11/08/2017 12:18:43.706,6640898
11/08/2017 12:18:43.746,6641003
11/08/2017 12:18:43.786,6639794
11/08/2017 12:18:43.826,6640162
11/08/2017 12:18:43.866,6640583
11/08/2017 12:18:43.906,6640267
11/08/2017 12:18:43.946,6639847
11/08/2017 12:18:43.986,6639952
11/08/2017 12:18:44.026,6640215
11/08/2017 12:18:44.066,6639741
11/08/2017 12:18:44.106,6640741
11/08/2017 12:18:44.146,6640320
11/08/2017 12:18:44.186,6639847
11/08/2017 12:18:44.226,6640373
11/08/2017 12:18:44.266,6639479
11/08/2017 12:18:44.306,6639531
11/08/2017 12:18:44.346,6639531
11/08/2017 12:18:44.386,6639216
11/08/2017 12:18:44.426,6639636
11/08/2017 12:18:44.466,6639426
11/08/2017 12:18:44.506,6638953
11/08/2017 12:18:44.546,6638690
11/08/2017 12:18:44.586,6639163
11/08/2017 12:18:44.626,6639321
11/08/2017 12:18:44.666,6638743
11/08/2017 12:18:44.706,6639111
11/08/2017 12:18:44.746,6639058
11/08/2017 12:18:44.786,6638848
11/08/2017 12:18:44.826,6638900
11/08/2017 12:18:44.866,6638532
