Time,BtoB
09/08/2017 09:02:23.427,6000
,6500
,3310
,2140
,1820
,1220
,1870
,1240
,3270
,3650
,8330
,790
,1160
,20260
,3560
,4570
,4420
,3660
,3820
,6300
,3830
,4570
,4550
,4710
,4580
,3140
,3920
,4110
,3250
,4060
,2630
,1270
,3350
,2970
,910
,4670
,4450
,3840
,4900
,4840
,3890
,4310
,4210
,4060
,4120
,4200
,3560
,3940
,3840
,4110
,5130
,5380
,3920
,4950
,3800
,4130
,4280
,4210
,3870
,3650
,3550
,3150
,4670
,4170
,5550
,4640
,3200
,3860
,3580
,670
,2430
,9300
,6030
,3180
,5390
,9780
,1790
,3830
,2730
,3820
,4140
,4260
,2440
,2700
,4640
,1840
,4510
,4170
,4250
,4250
,3600
,4310
,3460
,4660
,4380
,4990
,4070
,2300
,2150
,4400
,3910
,4090
,4540
,1520
,950
,1480
,4700
,4470
,3500
,4000
,3940
,4710
,4580
,3800
,4550
,2250
,1610
,950
,2160
,4570
,5070
,4710
,4790
,3740
,3290
,2580
,4340
,3720
,4210
,3920
,4360
,4470
,4080
,4700
,3530
,4250
,4240
,4190
,4690
,4260
,4260
,4190
,4290
,4730
,4370
,2540
,4360
,4240
,4020
,4150
,3830
,4110
,4770
,3980
,3110
,1850
,1930
,7230
,1000
,780
,1900
,1300
,5560
,2550
,2000
,4260
,14370
,2580
,2500
,2360
,2200
,3920
,4500
,4810
,4080
,4840
,2230
,2020
,4300
,4110
,3720
,4140
,2860
,2460
,3910
,2230
,1960
,1600
,2950
,1150
,3130
,4870
,4190
,4160
,4930
,4300
,2080
,2290
,3960
,4300
,5000
,4400
,4100
,5290
,3230
,4270
,4100
,2000
,1940
,4250
,3390
,2190
,1780
,4610
,5310
,2740
,2420
,4820
,4880
,3530
,4290
,5430
,2110
,2290
,1120
,1130
,5310
,580
,1140
,6670
,3250
,8130
,2080
,750
,7630
,9460
,7480
,8100
,780
,1570
,5850
,4530
,510
,12700
,13130
,15060
,12100
,10980
,5960
,6160
,6910
,10640
,7780
,790
,4300
,13690
,4750
,8600
,6070
,6450
,5120
,5510
,5260
,4950
,5320
,5330
,4690
,5340
,5580
,6280
,4620
,5040
,6810
,10600
,4930
,6400
,7650
,5410
,6960
,2390
,7170
,5360
,6140
,1710
,5090
,10290
,9670
,10470
,10240
,9770
,9810
,9950
,10530
,9470
,10120
,10340
,9930
,10360
,9330
,10200
,10240
,9910
,9820
,10000
,10550
,9580
,9940
,10240
,9970
,10040
,10020
,9790
,8680
,12430
,9830
,7050
,8030
,4450
,4940
,4510
,3210
,9900
,7170
,3090
,930
,3480
,4240
,5470
,4760
,4520
,6010
,4700
,4290
,3050
,4670
,900
,3310
,6050
,3840
,4730
,8640
,5140
,5040
,4610
,5060
,12950
,1960
,5170
,5650
,4400
,4810
,5970
,2580
,2590
,4310
,4300
,5130
,5080
,4350
,4320
,5040
,4650
,4530
,3980
,4950
,1190
,3090
,2680
,6400
,4240
,4510
,2000
,3170
,4110
,4100
,2600
,3020
,3540
,5690
,3350
,7140
,2760
,2960
