0,Space,2017-05-01 16:38:21.155
0,L,2017-05-01 16:38:21.276
1,T,2017-05-01 16:38:21.291
1,Space,2017-05-01 16:38:21.364
0,I,2017-05-01 16:38:21.364
1,L,2017-05-01 16:38:21.423
0,G,2017-05-01 16:38:21.478
1,I,2017-05-01 16:38:21.495
0,H,2017-05-01 16:38:21.593
1,G,2017-05-01 16:38:21.623
0,T,2017-05-01 16:38:21.715
1,H,2017-05-01 16:38:21.767
0,Space,2017-05-01 16:38:21.876
1,T,2017-05-01 16:38:21.891
0,W,2017-05-01 16:38:22.008
1,Space,2017-05-01 16:38:22.079
0,O,2017-05-01 16:38:22.138
0,R,2017-05-01 16:38:22.276
1,W,2017-05-01 16:38:22.292
1,O,2017-05-01 16:38:22.320
0,K,2017-05-01 16:38:22.377
1,R,2017-05-01 16:38:22.481
0,Space,2017-05-01 16:38:22.543
1,K,2017-05-01 16:38:22.560
0,A,2017-05-01 16:38:22.663
1,Space,2017-05-01 16:38:22.711
0,G,2017-05-01 16:38:22.838
1,A,2017-05-01 16:38:22.887
1,G,2017-05-01 16:38:22.979
0,O,2017-05-01 16:38:22.995
1,O,2017-05-01 16:38:23.157
0,Space,2017-05-01 16:38:23.188
0,A,2017-05-01 16:38:23.371
1,Space,2017-05-01 16:38:23.399
0,M,2017-05-01 16:38:23.508
1,A,2017-05-01 16:38:23.532
0,E,2017-05-01 16:38:23.645
1,M,2017-05-01 16:38:23.660
0,R,2017-05-01 16:38:23.774
1,E,2017-05-01 16:38:23.839
0,I,2017-05-01 16:38:23.861
1,R,2017-05-01 16:38:23.911
1,I,2017-05-01 16:38:24.011
0,C,2017-05-01 16:38:24.027
0,F,2017-05-01 16:38:24.042
1,F,2017-05-01 16:38:24.079
1,C,2017-05-01 16:38:24.146
0,Back,2017-05-01 16:38:24.911
1,Back,2017-05-01 16:38:25.011
0,A,2017-05-01 16:38:25.058
1,A,2017-05-01 16:38:25.211
0,Space,2017-05-01 16:38:25.242
1,Space,2017-05-01 16:38:25.379
