Time,RtoR
22/08/2017 15:56:24.440,41
,2757
,877
,13227
,699
,285
,333
,93
,405
,428
,359
,156
,304
,506
,3467
,968
,573
,241
,385
,335
,311
,59
,329
,363
,5
,763
,20
,295
,1401
,693
,447
,334
,681
,295
,456
,324
,138
,263
,390
,17
,343
,298
,332
,54
,275
,583
,180
,606
,450
,562
,289
,488
,147
,530
,1847
,143
,334
,2514
,8488
,166
,1210
,477
,8599
,763
,330
,2559
,2601
,1673
,1282
,559
,120
,599
,285
,134
,871
,823
,474
,260
,542
,1251
,1475
,525
,1117
,271
,500
,792
,1754
,80
,446
,397
,279
,481
,361
,454
,69
,366
,314
,324
,279
,2434
,2639
,157
,1437
,887
,123
,729
,906
,923
,828
,330
,440
,79
,1361
,274
,324
,119
,1992
,498
,2786
,2041
,573
,829
,835
,286
,156
,451
,1623
,780
,401
,271
,1735
,1546
,784
,857
,435
,440
,1828
,373
,276
,284
,515
,717
,445
,252
,783
,163
,714
,448
,437
,684
,2079
,662
,458
,2317
,280
,3909
,939
,1675
,769
,3345
,559
,1324
,3523
,1004
,5556
,597
,1242
,352
,804
,78
,1176
,360
,156
,675
,78
,636
,549
,373
,441
,381
,376
,849
,1102
,79
,1292
,562
,323
,78
,1930
,540
,291
,388
,538
,283
,351
,592
,490
,714
,850
,513
,294
,725
,682
,698
,639
,407
,705
,288
,159
,275
,400
,1264
,534
,648
,76
,327
,478
,349
,1208
,357
,727
,2027
,453
,120
,1194
,597
,4244
,325
,156
,759
,751
,409
,655
,343
,1237
,1325
,2208
,311
,566
,835
,446
,276
,472
,76
,453
,238
,1579
,1732
,840
,2382
,954
,517
,589
,245
,678
,98
,429
,964
,468
,199
,720
,804
,841
,388
,126
,536
,555
,561
,435
,232
,850
,474
,168
,611
,266
,762
,701
,167
,650
,3661
,171
,2344
,798
,946
,119
,1862
,412
,839
,237
,497
,1491
,219
,200
,448
,63
,291
,605
,64
,930
,151
,846
,250
,110
,2218
,424
,110
,522
,773
,242
,591
